@3K772S5NP9P857PRJJ4JSS82H3QEHT@|@3XQ4XW3OD9Q2DGTYBRGF6LBRRW72SD@|@A3JCYNX61DBFHX@|@a9@|@{"unassigned":[{"name":"ObservationInTunnel","variables":[{"varnum":"0","type":"variable","val":"A"},{"varnum":"1","type":"variable","val":"X"}]}],"if_block":[],"then_block":[]}@
@3DEL4X4EL7Z3X26XOOYZ2HOCN5DXYJ@|@33TGB4G0LPV4TW9AOG6Y6G196OLXT7@|@A220IYK8HMQK38@|@b2@|@{"unassigned":[],"if_block":[{"name":"fire","variables":[{"varnum":"0","type":"variable","val":"A"}]},{"name":"hasClass","variables":[{"varnum":"0","type":"variable","val":"A"},{"varnum":"1","type":"URI","val":"http://example.com/Tunnel"}]}],"then_block":[{"name":"dispatchFireTeam","variables":[{"varnum":"0","type":"variable","val":"A"}]}]}@
@3FPRZHYEPZLADA4EZO4RO2VEYT9V37@|@3T2EL38U0MYR1GHI7CC31BQMMHMXQT@|@A1IGS7YC1HX4ZC@|@a6@|@{"unassigned":[{"name":"CarbonMonoxideOfLocation","variables":[{"varnum":"0","type":"variable","val":"X"},{"varnum":"1","type":"variable","val":"A"}]},{"name":">","variables":[{"varnum":"0","type":"variable","val":"X"},{"varnum":"1","type":"variable","val":"A"}]}],"if_block":[],"then_block":[]}@
@3IXQG4FA2UCHJYVOBGE1E34TVT59BY@|@33NKDW9FFXWN7F7Z2UB8H615I2MCX4@|@A14V2G8AZ32MFW@|@b10@|@"send a cold weather alert"@
@3NPI0JQDAPJ2775CSR1J0NAU64NTP3@|@3ZXNP4Z39RZMV4VEXU09QQE4AIL7LK@|@A1ELPYAFO7MANS@|@b7@|@{"unassigned":[],"if_block":[{"name":"ObservationInMainTunnel","variables":[{"varnum":"0","type":"variable","val":"A"},{"varnum":"1","type":"variable","val":"X"}]},{"name":">","variables":[{"varnum":"0","type":"variable","val":"A"},{"varnum":"1","type":"http://www.w3.org/2001/XMLSchema#decimal","val":"83"}]}],"then_block":[{"name":"fullEvacuation","variables":[]}]}@
@38BQUHLA9XEG9C3R4UNSP9AC2RVOMG@|@3XQ4XW3OD9Q2DGTYBRGF6LBRRW72SD@|@AJFVK3O1D7SPE@|@a9@|@"flooded"@
@3VAR3R6G1QF1ON1NATD9KR9HIM68OC@|@3SCKNODZ0XUCJ4YZ97GO3IITFDL7NM@|@A13L4WVBUQZ3QE@|@a3@|@{"unassigned":[{"name":"TemperatureOfTunnel","variables":[{"varnum":"0","type":"variable","val":"X"},{"varnum":"1","type":"variable","val":"A"}]},{"name":">","variables":[{"varnum":"0","type":"variable","val":"A"},{"varnum":"1","type":"http://www.w3.org/2001/XMLSchema#decimal","val":"38"}]}],"if_block":[],"then_block":[]}@
@3N2BF7Y2VR86HVH40HS250DBQ5HHML@|@3DZKABX2ZIJV3Q242FAQTL4K2RECV1@|@A3JCYNX61DBFHX@|@a1@|@{"unassigned":[{"name":"hasClass","variables":[{"varnum":"0","type":"variable","val":"X"},{"varnum":"1","type":"URI","val":"http://example.com/Tunnel"}]},{"name":"TemperatureOfTunnel","variables":[{"varnum":"0","type":"variable","val":"X"},{"varnum":"1","type":"variable","val":"A"}]},{"name":">","variables":[{"varnum":"0","type":"variable","val":"A"},{"varnum":"1","type":"variable","val":"B"}]},{"name":"CarbonMonoxideOfTunnel","variables":[{"varnum":"0","type":"variable","val":"X"},{"varnum":"1","type":"variable","val":"C"}]},{"name":">","variables":[{"varnum":"0","type":"variable","val":"C"},{"varnum":"1","type":"variable","val":"Y"}]}],"if_block":[],"then_block":[]}@
@3G0WWMR1UWYPC617V8UWRTUCMINNQN@|@3EFNPKWBMS2RXP556PB0FPA02IO03Z@|@A2H31P6GHNVQY1@|@a5@|@{"unassigned":[{"name":"TemperatureOfMainTunnel","variables":[{"varnum":"0","type":"variable","val":"X"},{"varnum":"1","type":"http://www.w3.org/2001/XMLSchema#string","val":"more than 38"}]},{"name":"hasClass","variables":[{"varnum":"0","type":"variable","val":"X"},{"varnum":"1","type":"URI","val":"http://example.com/Tunnel"}]},{"name":">","variables":[{"varnum":"0","type":"http://www.w3.org/2001/XMLSchema#string","val":"temperature"},{"varnum":"1","type":"http://www.w3.org/2001/XMLSchema#decimal","val":"38"}]}],"if_block":[],"then_block":[]}@
@3ZPPDN2SLWAFQ178L7GRFBAEYQIE93@|@3UEDKCTP9V4BBYDWCUO8BQ1PLIG7KH@|@A2SRC38HIJ2X19@|@b6@|@"ship's engine room"@
